ID_DISCENTE;ANO_NASCIMENTO;PERIODO_INGRESSO;PERIODO_LETIVO;CAMPUS;CD_INEP;CURSO;CARGA_HORARIA_CURSO;TURNO;MODALIDADE;COTAS;SEXO;NACIONALIDADE;CIDADE_NAT;UF_NAT;LAT;LON
307215;1998;20172;20202;REITOR JOAQUIM AMAZONAS;1188497;ENGENHARIA NAVAL;3945;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307221;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;MANHA;PRESENCIAL;L5;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307221;1999;20171;20202;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;MANHA;PRESENCIAL;L5;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307525;1996;20171;20201;AGRESTE;1189778;MEDICINA - CAA;7860;INTEGRAL;PRESENCIAL;AC;M;BRA;GRAVATA;PE;;
307525;1996;20171;20202;AGRESTE;1189778;MEDICINA - CAA;7860;INTEGRAL;PRESENCIAL;AC;M;BRA;GRAVATA;PE;;
297666;1998;20172;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307654;1996;20172;20201;REITOR JOAQUIM AMAZONAS;13599;ENFERMAGEM;4095;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
307654;1996;20172;20202;REITOR JOAQUIM AMAZONAS;13599;ENFERMAGEM;4095;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
307661;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13625;TURISMO;3000;TARDE;PRESENCIAL;AC;F;BRA;CARUARU;PE;;
272018;1996;20172;20201;AGRESTE;101129;ENGENHARIA CIVIL - CAA;4100;INTEGRAL;PRESENCIAL;AC;M;BRA;BOM CONSELHO;PE;;
307945;1996;20171;20201;REITOR JOAQUIM AMAZONAS;52249;GEOGRAFIA - BACHARELADO;2370;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307963;2000;20172;20201;REITOR JOAQUIM AMAZONAS;58854;ENGENHARIA DA COMPUTAÇAO;4065;INTEGRAL;PRESENCIAL;L6;M;BRA;BARREIROS;PE;;
307963;2000;20172;20202;REITOR JOAQUIM AMAZONAS;58854;ENGENHARIA DA COMPUTAÇAO;4065;INTEGRAL;PRESENCIAL;L6;M;BRA;BARREIROS;PE;;
308003;1998;20172;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
308158;1997;20172;20201;VITORIA;101140;CIENCIAS BIOLOGICAS - CAV;3120;NOITE;PRESENCIAL;AC;F;BRA;GRAVATA;PE;;
308158;1997;20172;20202;VITORIA;101140;CIENCIAS BIOLOGICAS - CAV;3120;NOITE;PRESENCIAL;AC;F;BRA;GRAVATA;PE;;
308299;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13625;TURISMO;3000;TARDE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
308421;1998;20172;20201;REITOR JOAQUIM AMAZONAS;1192307;EDUCAÇÃO FISICA - BACHARELADO;3255;INTEGRAL;PRESENCIAL;L5;F;BRA;IPOJUCA;PE;;
308421;1998;20172;20202;REITOR JOAQUIM AMAZONAS;1192307;EDUCAÇÃO FISICA - BACHARELADO;3255;INTEGRAL;PRESENCIAL;L5;F;BRA;IPOJUCA;PE;;
308639;1994;20171;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;MANHA;PRESENCIAL;L5;M;BRA;SALGUEIRO;PE;;
294874;1997;20171;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
299439;1997;20171;20201;VITORIA;1189922;SAUDE COLETIVA - CAV;3000;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
308944;1996;20171;20201;REITOR JOAQUIM AMAZONAS;117390;ARQUEOLOGIA;2940;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
309001;1997;20172;20201;REITOR JOAQUIM AMAZONAS;13597;BIOMEDICINA;2760;INTEGRAL;PRESENCIAL;L2;F;BRA;ITAPISSUMA;PE;;
309001;1997;20172;20202;REITOR JOAQUIM AMAZONAS;13597;BIOMEDICINA;2760;INTEGRAL;PRESENCIAL;L2;F;BRA;ITAPISSUMA;PE;;
309004;1993;20172;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;NOITE;PRESENCIAL;AC;F;BRA;RIO DE JANEIRO;RJ;;
309232;1998;20171;20201;AGRESTE;1321439;COMUNICAÇÃO SOCIAL - CAA;3030;INTEGRAL;PRESENCIAL;AC;M;BRA;CARUARU;PE;;
